 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            3000               4;
   484    4.285           -3000           -4620;
   485    4.294           -3000           -4620;
   486    4.303           -3000           -4620;
   487    4.312           -3000           -4620;
   488    4.321           -3000           -4620;
   489    4.330           -3000           -4620;
   490    4.339           -3000           -4620;
   491    4.347           -3000           -4621;
   492    4.356           -3000           -4621;
   493    4.365           -3000           -4621;
   494    4.374           -3000           -4621;
   495    4.383           -3000           -4621;
   496    4.392           -3000           -4621;
   497    4.401           -3000           -4621;
   498    4.409           -3000           -4621;
   499    4.418           -3000           -4621;
   500    4.427           -3000           -4621;
   501    4.436           -3000           -4622;
   502    4.445           -3000           -4622;
   503    4.454           -3000           -4622;
   504    4.463           -3000           -4622;
   505    4.471           -3000           -4622;
   506    4.480           -3000           -4622;
   507    4.489           -3000           -4622;
   508    4.498           -3000           -4622;
   509    4.507               0           -4622;
   510    4.516               0           -4590;
   511    4.524               0           -4513;
   512    4.533               0           -4404;
   513    4.542               0           -4274;
   514    4.551               0           -4128;
   515    4.560               0           -3970;
   516    4.569               0           -3804;
   517    4.578               0           -3635;
   518    4.586               0           -3465;
   519    4.595               0           -3297;
   520    4.604               0           -3134;
   521    4.613               0           -2976;
   522    4.622               0           -2824;
   523    4.631               0           -2679;
   524    4.640               0           -2538;
   525    4.648               0           -2403;
   526    4.657               0           -2274;
   527    4.666               0           -2151;
   528    4.675               0           -2034;
   529    4.684               0           -1923;
   530    4.693               0           -1816;
   531    4.702               0           -1713;
   532    4.710               0           -1614;
   533    4.719               0           -1519;
   534    4.728               0           -1428;
   535    4.737               0           -1343;
   536    4.746               0           -1262;
   537    4.755               0           -1186;
   538    4.764               0           -1113;
   539    4.772               0           -1041;
   540    4.781               0            -973;
   541    4.790               0            -907;
   542    4.799               0            -844;
   543    4.808               0            -785;
   544    4.817               0            -729;
   545    4.826               0            -676;
   546    4.834               0            -627;
   547    4.843               0            -578;
   548    4.852               0            -533;
   549    4.861               0            -491;
   550    4.870               0            -450;
   551    4.879               0            -413;
   552    4.888               0            -378;
   553    4.896               0            -345;
   554    4.905               0            -314;
   555    4.914               0            -284;
   556    4.923               0            -256;
   557    4.932               0            -230;
   558    4.941               0            -206;
   559    4.949               0            -184;
   560    4.958               0            -164;
   561    4.967               0            -144;
   562    4.976               0            -125;
   563    4.985               0            -108;
   564    4.994               0             -92;
   565    5.003               0             -77;
   566    5.011               0             -64;
   567    5.020               0             -53;
   568    5.029               0             -42;
   569    5.038               0             -31;
   570    5.047               0             -20;
   571    5.056               0             -11;
   572    5.065               0              -2;
   573    5.073               0               6;
   574    5.082               0              13;
   575    5.091               0              19;
   576    5.100               0              24;
   577    5.109               0              29;
   578    5.118               0              33;
   579    5.127               0              36;
   580    5.135               0              39;
   581    5.144               0              41;
   582    5.153               0              42;
   583    5.162               0              43;
   584    5.171               0              44;
   585    5.180               0              44;
   586    5.189               0              45;
   587    5.197               0              45;
   588    5.206               0              45;
   589    5.215               0              45;
   590    5.224               0              45;
   591    5.233               0              45;
   592    5.242               0              45;
   593    5.251               0              45;
   594    5.259               0              45;
   595    5.268               0              45;
   596    5.277               0              45;
   597    5.286               0              45;
   598    5.295               0              45;
   599    5.304               0              45;
   600    5.313               0              45;
   601    5.321               0              45;
   602    5.330               0              45;
   603    5.339               0              45;
   604    5.348               0              45;
   605    5.357               0              45;
   606    5.366               0              45;
   607    5.374               0              45;
